categ_code;Libellé catégorie;Libéllé catégorie n2;Domaine;Autorité compétente 1;Autorité compétente 2;Commentaire;Commentaire OCTO
220;Centre Social;Etablissements et Services Sociaux d'Aide à la Famille;Social;CD;;;
221;Bureau d'Aide Psychologique Universitaire (B.A.P.U.);Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;ENSEIGNEMENT;;;que signifie ENSEIGNEMENT ? Hors périmètre de l'affectation ? Que fait-on pour la redirection? 
223;Protection Maternelle et Infantile (P.M.I.);Autres Etablissements de Soins et Prévention;Sanitaire;CD;;;
224;Etablissement de Consultation Pré et Post-natale;Autres Etablissements de Soins et Prévention;Sanitaire;ARS;;;Reste à renseigner
228;Centre Planification ou Education Familiale;Autres Etablissements de Soins et Prévention;Sanitaire;A demander lors des ateliers ;;;Reste à renseigner
230;Etablissement Consultation Protection Infantile;Autres Etablissements de Soins et Prévention;Sanitaire;CD mais hors périmètre ;;;Reste à renseigner
231;Etablissement Information Consultation Conseil Familial;Autres Etablissements de Soins et Prévention;Sanitaire;DDETS;;l'autorité à confirmer;autorité en attente de confirmation.
233;Lactarium;Autres Etablissements à Caractère Sanitaire;;ARS;;;Reste à renseigner
236;Centre Placement Familial Socio-Educatif (C.P.F.S.E.);Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;CD;;;
237;Centre de Placement Familial Spécialisé;Etablissements et Services pour Adultes Handicapés;;ARS;;;Reste à renseigner
238;Centre d'Accueil Familial Spécialisé;Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;Hors périmètre;;;Reste à renseigner
241;Foyer d'Action Educative (F.A.E.);Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;CD mais hors périmètre ;;ou PJJ;PJJ ? Hors périmètre de l'affectation ?
246;Etablissement et Service d'Aide par le Travail (E.S.A.T.);Etablissements et Services pour Adultes Handicapés;Médico-social;ARS;;;
247;Entreprise adaptée;Etablissements et Services pour Adultes Handicapés;Médico-social;DROIT DU TRAVAIL ;;;que signifie DROIT DU TRAVAIL ? Hors périmètre de l'affectation ?
249;Établissement et Service de Réadaptation Professionnelle;Etablissements et Services pour Adultes Handicapés;Médico-social;DDETS;;;
252;Foyer Hébergement Adultes Handicapés;Etablissements et Services pour Adultes Handicapés;Médico-social;CD;;;
253;Foyer d'Accueil Polyvalent pour Adultes Handicapés;Etablissements et Services pour Adultes Handicapés;Médico-social;CD;;;
255;Maison d'Accueil Spécialisée (M.A.S.);Etablissements et Services pour Adultes Handicapés;Médico-social;ARS;;;
256;Foyer Travailleurs Migrants non transformé en Résidence Soc.;Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS;;;
257;Foyer de Jeunes Travailleurs (résidence sociale ou non);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS;;;
258;Maisons Relais - Pensions de Famille;Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS;;;
259;Autre Résidence Sociale (hors Maison Relais, Pension de Fami;Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS;;;
262;Etablissement Régional d'Enseignement Adapté;Agrégat de niveau 2 obsolète (4200);;Hors périmètre;;;Reste à renseigner
265;Section Education Spéciale Classe Atelier;Agrégat de niveau 2 obsolète (4200);;Hors périmètre;;;Reste à renseigner
266;Dispensaire Antivénérien;Autres Etablissements de Soins et Prévention;Sanitaire;ARS;;;
